Distance from Center (cmd=annotatePeaks.pl ../txt//CTCF_ERConsensusremoved.bed hg19 -size 6000 -hist 25 -d PDX01 PDX03 PDX04 PDX05)	PDX01 Coverage	PDX01 + Tags	PDX01 - Tags	PDX03 Coverage	PDX03 + Tags	PDX03 - Tags	PDX04 Coverage	PDX04 + Tags	PDX04 - Tags	PDX05 Coverage	PDX05 + Tags	PDX05 - Tags
-3000	0.694753767344873	0.00281876673738371	0.00288609884185974	0.528215413270886	0.00210051125099977	0.00218880348717222	0.57560691169321	0.00221736862240461	0.00226619830974159	0.588635721639161	0.00234907429949336	0.0023954926442458
-2975	0.697517133687994	0.00292670214122561	0.00291364379369084	0.527913995447818	0.00212583034813746	0.00215472008717918	0.562154106398518	0.00212346537752582	0.00225117379056098	0.582060084073318	0.00227062219594474	0.00233979063054287
-2950	0.698226826488796	0.0029205810408187	0.00283570178184281	0.525425366241977	0.00206188339767433	0.00216737963574801	0.551898007312465	0.00199700900775571	0.00213848989670642	0.580901014318048	0.00239743099270798	0.00233183320001388
-2925	0.701850695352889	0.00287324453100525	0.00285467719310425	0.527249330504643	0.00212745336718475	0.00216121216336833	0.544838614435052	0.00202580600285187	0.00233380864605432	0.580534859384466	0.00232214145770293	0.00234040274058356
-2900	0.708104863159953	0.00301158140020145	0.00286916379740063	0.526561479575078	0.00216348439003453	0.00212518114051854	0.547469237252578	0.00237136994400583	0.00229749939136785	0.582890876991583	0.00236101044528685	0.00234121888730448
-2875	0.711662198323972	0.00292935461806861	0.00278489664846546	0.531476908689721	0.00223197579383006	0.0021102493652835	0.556260179326338	0.00233255660278927	0.0021948318436337	0.583959039315067	0.00242385374279782	0.00234111686896436
-2850	0.716820777869798	0.00300035938278876	0.00292690617790584	0.532605293360693	0.00212810257480366	0.00213264702813607	0.571078244564304	0.00241769554481271	0.00210593677181511	0.586097889168473	0.00234723796937127	0.00224205706071247
-2825	0.714713877367419	0.00291609223385364	0.00295200268957418	0.533841879301483	0.00216543201289128	0.00221120115002479	0.589359408194963	0.00245525684276423	0.00212096129099572	0.583858031057527	0.00225032054626181	0.00234091283228413
-2800	0.712713430785159	0.00287977370477262	0.00301117332684099	0.532520278077263	0.00215731691765484	0.00212972559385095	0.595919315727276	0.00233005251625917	0.00237262198727089	0.582027256389617	0.00226399100383726	0.00239498255254521
-2775	0.712819884705279	0.00293180305823138	0.002922621407621	0.532164759619286	0.00210960015766459	0.00218782967574385	0.591923432966476	0.00225492992035613	0.0023951587660418	0.581138383723267	0.00238712714035634	0.00232356971446454
-2750	0.712677946145119	0.00287528489780752	0.00294567755248704	0.530557197896258	0.00211057396909295	0.00214530657670491	0.591057658368303	0.00245525684276423	0.00235384133829513	0.580395973030349	0.00234417741916783	0.00234723796937128
-2725	0.712229952564613	0.00292976269142905	0.00285651352322635	0.529915718939473	0.00211382000718753	0.00208622868338364	0.58819394238973	0.00231878412687371	0.00230375960769311	0.578608126871894	0.00224450550087523	0.00227541705793016
-2700	0.710349266642489	0.00287446875108662	0.00289303608898759	0.528771876944241	0.00212128589480506	0.00213069940527932	0.583831770375857	0.00222738496852502	0.00215601850241713	0.579509625570437	0.00227174439768601	0.00230836898178737
