name	Unique Positions	Total Tags
genome	12171356	44838433.0
fragmentLengthEstimate=101		
peakSizeEstimate=157		
tagsPerBP=0.014312		
averageTagsPerPosition=3.684		
averageTagLength=49.913		
gsizeEstimate=3132821700		
averageFragmentGCcontent=-1.000		
chr1	1096071	4126860.0
chr2	1019763	3716503.0
chr3	925529	3371165.0
chr4	732978	2564775.0
chr5	776842	2811861.0
chr6	567689	2009736.0
chr7	840418	3136364.0
chr8	893102	3304730.0
chr9	737195	2894914.0
chr10	468880	1690612.0
chr11	370394	1341705.0
chr12	527832	1921736.0
chr13	284641	995558.0
chr14	387033	1404896.0
chr15	290326	1066128.0
chr16	327923	1238817.0
chr17	429545	1676640.0
chr18	338520	1230394.0
chr19	319325	1298299.0
chr20	259693	964670.0
chr21	165433	602162.0
chr22	143237	552430.0
chrX	241356	807527.0
chrY	1121	3541.0
chr11_gl000202_random	209	875.0
chr17_ctg5_hap1	744	3415.0
chr17_gl000203_random	41	135.0
chr17_gl000204_random	270	974.0
chr17_gl000205_random	910	3271.0
chr17_gl000206_random	8	33.0
chr18_gl000207_random	17	47.0
chr19_gl000208_random	833	3451.0
chr19_gl000209_random	80	251.0
chr1_gl000191_random	30	111.0
chr1_gl000192_random	956	3743.0
chr21_gl000210_random	10	31.0
chr4_ctg9_hap1	66	228.0
chr4_gl000193_random	538	1907.0
chr4_gl000194_random	570	2858.0
chr6_apd_hap1	2	3.0
chr6_cox_hap2	123	453.0
chr6_dbb_hap3	54	182.0
chr6_mann_hap4	22	39.0
chr6_mcf_hap5	136	556.0
chr6_qbl_hap6	175	777.0
chr6_ssto_hap7	280	947.0
chr7_gl000195_random	881	3086.0
chr8_gl000196_random	5	16.0
chr8_gl000197_random	1	3.0
chr9_gl000198_random	306	1022.0
chr9_gl000199_random	793	5909.0
chr9_gl000201_random	1	1.0
chrUn_gl000211	417	1525.0
chrUn_gl000212	276	1024.0
chrUn_gl000213	40	137.0
chrUn_gl000214	407	1373.0
chrUn_gl000215	19	79.0
chrUn_gl000216	1546	7084.0
chrUn_gl000217	56	177.0
chrUn_gl000218	293	1062.0
chrUn_gl000219	872	3245.0
chrUn_gl000220	9548	37297.0
chrUn_gl000221	34	102.0
chrUn_gl000222	76	263.0
chrUn_gl000223	4	17.0
chrUn_gl000224	739	2585.0
chrUn_gl000225	2189	9120.0
chrUn_gl000226	157	1034.0
chrUn_gl000227	2	2.0
chrUn_gl000228	106	415.0
chrUn_gl000229	120	400.0
chrUn_gl000230	126	415.0
chrUn_gl000231	118	387.0
chrUn_gl000232	332	1129.0
chrUn_gl000233	66	238.0
chrUn_gl000234	274	893.0
chrUn_gl000235	125	397.0
chrUn_gl000236	2	6.0
chrUn_gl000237	98	349.0
chrUn_gl000238	9	28.0
chrUn_gl000239	6	16.0
chrUn_gl000240	27	92.0
chrUn_gl000241	317	1037.0
chrUn_gl000242	6	19.0
chrUn_gl000243	12	42.0
chrUn_gl000244	1	1.0
chrUn_gl000245	2	4.0
chrUn_gl000246	12	29.0
chrUn_gl000247	6	13.0
chrUn_gl000248	8	41.0
chrUn_gl000249	1	9.0
cmd=makeTagDirectory PDX05/ SLX-15439.D702_D503.HNKNYBBXX.s_6.bwa.homo_sapiens.bam		
