"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"chr1:861526-861723",18.9591982634226,0.581910190839989,0.46164166504851,1.26052355083426,0.207480557586872,0.26939865658603
"chr1:867050-867214",15.1990492646704,-0.0479860309597476,0.497387600631661,-0.0964761302831182,0.923142430756625,0.942676360943401
"chr1:877210-877462",14.6927294950147,2.401121327422,0.57874020477596,4.14887596819287,3.3411176529028e-05,0.000106141743520486
"chr1:931207-931430",18.7676813981393,0.530392227038604,0.450820733069832,1.17650362579142,0.239393684394512,0.306313985467941
"chr1:1008899-1009957",245.726745955563,1.17149680264948,0.192940004643408,6.07181908601404,1.26469365494426e-09,9.89342631336139e-09
"chr1:1014794-1015139",41.2045842921151,2.04520504330412,0.365505376607661,5.59555392122036,2.19918482616493e-08,1.37896959991759e-07
"chr1:1060168-1060437",24.9392509084291,1.34246572459323,0.438317551648892,3.0627697192208,0.00219298747119171,0.00449776402892764
"chr1:1060554-1060926",24.2979064710809,1.1948848946221,0.447723884662115,2.66879864031343,0.00761230715549679,0.0137234708929318
"chr1:1071968-1072178",19.0295840483754,1.36434683838678,0.478846489834111,2.84923637815417,0.00438243072843069,0.00838496034108411
"chr1:1172408-1172578",14.848534520024,2.68989774845519,0.597975111873352,4.4983439863044,6.84848255518905e-06,2.54287564233768e-05
"chr1:1172763-1172944",12.3367768664338,2.58023207850434,0.627053343633457,4.11485259539993,3.87426917310379e-05,0.000121218020908168
"chr1:1173491-1173645",10.8302441709016,1.65998000125789,0.629167182881492,2.63837664522715,0.00833040013608659,0.0148912046861666
"chr1:1226703-1226970",20.9700772476088,0.873350733465986,0.435919361704592,2.00346855448423,0.0451270195432418,0.0684951814464177
"chr1:1235871-1236102",20.1521858335419,1.71993346261361,0.46998864971446,3.65952127494686,0.000252686864945988,0.000650343505483178
"chr1:1246114-1246307",9.68354144277171,1.78050288609952,0.657325534664705,2.7087079265949,0.00675457730177454,0.0123427817046028
"chr1:1279483-1279764",24.0436920515985,1.0897425621433,0.411524649263887,2.64806145656785,0.00809548069199474,0.0145031512860991
"chr1:1607717-1608479",16.901528552322,1.70433002733394,0.515208360526122,3.30804031517172,0.000939512836822416,0.00210277753569554
"chr1:1670655-1671263",13.3495436967261,1.99181760216947,0.579371131361248,3.43789583973513,0.000586253160554058,0.00137884173094233
"chr1:1691142-1691349",19.1468993612393,1.79802802963235,0.546188535550699,3.29195490677861,0.000994935632246462,0.00221144519036223
"chr1:1694474-1694636",13.3974822207102,1.77487611676267,0.598994800570501,2.96309102361527,0.00304566490857297,0.006043606837587
"chr1:1724937-1725198",34.9141054435059,2.40103128710036,0.398539471004356,6.02457588717508,1.69553637051473e-09,1.29555078755948e-08
"chr1:1790765-1791014",15.7261299678914,1.48899053920647,0.532689566900643,2.79523127864113,0.00518625979688011,0.00976333786545604
"chr1:1867252-1867388",15.2416198530053,-0.28709540148297,0.493362909722143,-0.581915251076857,0.560623767186144,0.639707326663658
"chr1:2023201-2023332",16.9443069521609,0.273854540472489,0.491903524739092,0.556724086532502,0.577715957517134,0.656350580457365
"chr1:2036649-2036913",18.9429161831141,1.49522015766653,0.475363114076257,3.14542738675064,0.00165844358592684,0.0034911687454243
"chr1:2066944-2067154",23.7333035925446,0.417981915412511,0.408048102974122,1.02434470927811,0.305672487430768,0.38131933232179
"chr1:2142391-2142571",13.0099365360185,3.17532915462754,0.670222174458339,4.73772619832189,2.16129553043586e-06,9.00782733888157e-06
"chr1:2174629-2174814",10.498234849862,1.7031047999497,0.659702846628115,2.58162414889467,0.00983366150210624,0.0173218641212566
"chr1:2174925-2175100",8.87097214880177,1.92663231406048,0.714550365912923,2.69628623253026,0.00701173864543677,0.0127493659023182
"chr1:2379378-2379665",14.9945040072623,3.00474307373984,0.615267555536268,4.88363647116238,1.04147008457896e-06,4.6384297511516e-06
"chr1:2457608-2457904",28.6321386215044,-0.378174706065826,0.378938780847435,-0.997983645854615,0.318287288985652,0.395046482553689
"chr1:2460770-2460945",13.9547456977593,0.885022436825009,0.532764440475582,1.66118901635961,0.0966754908195208,0.136131638093474
"chr1:2687999-2688322",7.17964841896145,0.272625832328693,0.690871988566831,0.394611211397118,0.693129838168548,0.763881589250593
"chr1:2727758-2727916",9.60241898490853,2.01500864690408,0.69514548880795,2.89868621654937,0.00374729710656762,0.00727973598597632
"chr1:2782971-2783296",18.3382270217032,2.84800702226694,0.554025877275006,5.14056678412739,2.73910942014706e-07,1.38660683293814e-06
"chr1:3002436-3002771",22.2960306129604,1.79196362565311,0.452843523233782,3.95713648029367,7.58535962804333e-05,0.000221287398514482
"chr1:3049317-3049521",17.5922862156772,1.38131258446089,0.481376671215099,2.86950462508738,0.00411115319958501,0.00791000210879059
"chr1:3130224-3130581",55.7821409492565,1.96593272190014,0.311919800796447,6.30268651390638,2.92530185457398e-10,2.54564985742616e-09
"chr1:3178096-3178461",37.2177305559082,3.47769706649812,0.469016775705752,7.41486711485973,1.21746815794863e-13,1.87163015326432e-12
"chr1:3254842-3255191",40.6201956646744,1.98831848063843,0.363063142402235,5.47650876231218,4.33799303463015e-08,2.56396298336021e-07
"chr1:3351084-3351225",13.077024275729,3.02283715065117,0.669524883336935,4.5148988870813,6.33469827609625e-06,2.36689451912182e-05
"chr1:3459622-3459824",13.7927279377833,2.16072021070023,0.575703630089245,3.75318149438327,0.000174604342247569,0.000467366092814439
"chr1:3470006-3470309",30.1929301506945,1.67419759453463,0.390384726014785,4.28858375589014,1.79815992597227e-05,6.09512304876515e-05
"chr1:3471823-3472159",57.2268437975777,2.5174898456964,0.334354477286921,7.52940372183517,5.09725539164268e-14,8.40475942378648e-13
