name	Unique Positions	Total Tags
genome	15045768	22883994.0
fragmentLengthEstimate=115		
peakSizeEstimate=269		
tagsPerBP=0.007305		
averageTagsPerPosition=1.521		
averageTagLength=49.931		
gsizeEstimate=3132771614		
averageFragmentGCcontent=-1.000		
chr1	1241771	1881574.0
chr2	1109333	1643781.0
chr3	955564	1422215.0
chr4	931235	1374405.0
chr5	769815	1132360.0
chr6	854496	1278217.0
chr7	562004	811361.0
chr8	902940	1383731.0
chr9	447283	653012.0
chr10	674172	1003154.0
chr11	675610	1050178.0
chr12	827437	1294262.0
chr13	367483	533046.0
chr14	572570	879769.0
chr15	440696	672945.0
chr16	477505	729584.0
chr17	842208	1429493.0
chr18	307278	447615.0
chr19	524318	833657.0
chr20	547140	894052.0
chr21	208218	314761.0
chr22	314427	499921.0
chrX	459446	666285.0
chrY	872	1213.0
chr11_gl000202_random	1350	2481.0
chr17_ctg5_hap1	1040	1776.0
chr17_gl000203_random	26	41.0
chr17_gl000204_random	609	939.0
chr17_gl000205_random	2257	3815.0
chr17_gl000206_random	81	110.0
chr18_gl000207_random	28	37.0
chr19_gl000208_random	305	415.0
chr19_gl000209_random	11	14.0
chr1_gl000191_random	88	114.0
chr1_gl000192_random	936	1549.0
chr21_gl000210_random	2	2.0
chr4_ctg9_hap1	19	29.0
chr4_gl000193_random	417	540.0
chr4_gl000194_random	527	932.0
chr6_apd_hap1	12	13.0
chr6_cox_hap2	225	340.0
chr6_dbb_hap3	72	94.0
chr6_mann_hap4	51	65.0
chr6_mcf_hap5	160	255.0
chr6_qbl_hap6	178	277.0
chr6_ssto_hap7	233	345.0
chr7_gl000195_random	3085	6104.0
chr8_gl000196_random	18	29.0
chr9_gl000198_random	352	492.0
chr9_gl000199_random	438	1106.0
chr9_gl000201_random	1	1.0
chrUn_gl000211	185	235.0
chrUn_gl000212	178	280.0
chrUn_gl000213	57	84.0
chrUn_gl000214	749	1159.0
chrUn_gl000215	66	94.0
chrUn_gl000216	945	1552.0
chrUn_gl000217	62	95.0
chrUn_gl000218	296	424.0
chrUn_gl000219	1815	3368.0
chrUn_gl000220	10002	16727.0
chrUn_gl000221	22	28.0
chrUn_gl000222	77	99.0
chrUn_gl000223	7	11.0
chrUn_gl000224	801	1070.0
chrUn_gl000225	2299	3446.0
chrUn_gl000226	164	341.0
chrUn_gl000227	14	18.0
chrUn_gl000228	165	255.0
chrUn_gl000229	97	122.0
chrUn_gl000230	99	128.0
chrUn_gl000231	117	149.0
chrUn_gl000232	219	291.0
chrUn_gl000233	41	57.0
chrUn_gl000234	393	697.0
chrUn_gl000235	120	166.0
chrUn_gl000237	52	63.0
chrUn_gl000240	25	34.0
chrUn_gl000241	303	422.0
chrUn_gl000242	16	22.0
chrUn_gl000243	13	17.0
chrUn_gl000244	3	3.0
chrUn_gl000245	1	1.0
chrUn_gl000246	14	21.0
chrUn_gl000247	4	4.0
chrUn_gl000248	5	5.0
cmd=makeTagDirectory PDX01/ SLX-15439.D701_D501.HNKNYBBXX.s_6.bwa.homo_sapiens.bam		
