	chrUn_gl000213	31592	1	1.0	50
	chrUn_gl000213	38927	0	1.0	50
	chrUn_gl000213	42689	0	1.0	50
	chrUn_gl000213	42729	0	2.0	50
	chrUn_gl000213	44630	0	1.0	50
	chrUn_gl000213	44631	1	1.0	50
	chrUn_gl000213	44646	1	1.0	50
	chrUn_gl000213	45968	0	1.0	50
	chrUn_gl000213	46231	0	1.0	50
	chrUn_gl000213	49588	1	2.0	50
	chrUn_gl000213	52525	0	1.0	50
	chrUn_gl000213	52542	0	1.0	50
	chrUn_gl000213	52745	0	1.0	48
	chrUn_gl000213	54032	0	1.0	50
	chrUn_gl000213	54035	0	2.0	50
	chrUn_gl000213	54036	0	3.0	50
	chrUn_gl000213	54039	0	2.0	50
	chrUn_gl000213	54051	0	1.0	50
	chrUn_gl000213	54063	0	1.0	50
	chrUn_gl000213	54081	1	3.0	50
	chrUn_gl000213	54084	1	2.0	50
	chrUn_gl000213	54088	1	2.0	50
	chrUn_gl000213	54089	1	1.0	50
	chrUn_gl000213	54092	1	2.0	50
	chrUn_gl000213	54095	1	1.0	50
	chrUn_gl000213	54098	1	1.0	50
	chrUn_gl000213	54100	1	9.0	50
	chrUn_gl000213	54102	1	3.0	50
	chrUn_gl000213	54104	1	1.0	50
	chrUn_gl000213	54105	1	1.0	50
	chrUn_gl000213	54110	1	1.0	50
	chrUn_gl000213	54112	1	1.0	50
	chrUn_gl000213	54113	1	1.0	50
	chrUn_gl000213	54114	1	1.0	50
	chrUn_gl000213	54116	1	2.0	50
	chrUn_gl000213	54119	1	3.0	50
	chrUn_gl000213	54121	1	2.0	50
	chrUn_gl000213	54127	1	1.0	50
	chrUn_gl000213	54128	1	1.0	50
	chrUn_gl000213	54638	1	2.0	50
	chrUn_gl000213	60742	1	1.0	50
	chrUn_gl000213	64398	1	1.0	50
	chrUn_gl000213	64399	1	1.0	50
	chrUn_gl000213	73526	0	1.0	50
	chrUn_gl000213	73542	0	1.0	50
	chrUn_gl000213	80344	1	1.0	50
	chrUn_gl000213	82229	1	1.0	50
	chrUn_gl000213	85754	0	1.0	50
	chrUn_gl000213	97422	0	1.0	50
	chrUn_gl000213	98814	0	1.0	50
	chrUn_gl000213	98862	1	1.0	50
	chrUn_gl000213	115881	1	2.0	50
	chrUn_gl000213	138144	1	1.0	50
	chrUn_gl000213	138952	1	1.0	50
	chrUn_gl000213	139517	0	1.0	50
	chrUn_gl000213	144740	0	1.0	50
	chrUn_gl000213	159873	0	1.0	50
