chr5	172899513	172900259
chr8	128680736	128681488
chr11	78770798	78771650
chr1	3556822	3557457
chr9	130789013	130789572
chr3	189560366	189561257
chr1	199985858	199986426
chr4	75586798	75587872
chr3	99822673	99823503
chr21	41692593	41693417
chr12	122186444	122187246
chr12	15021778	15022402
chr2	11670982	11671580
chr1	109788743	109789282
chr9	138284238	138284884
chr5	66511476	66512261
chr21	46747026	46747568
chr17	72765784	72766664
chr12	52596998	52597804
chr14	22741122	22741767
chr11	66829604	66830263
chr13	69260123	69260939
chr17	26863750	26864407
chr10	9080129	9080730
chr15	92731241	92731827
chr1	109782494	109783103
chr7	26598052	26598565
chr14	93483634	93484171
chr10	128606804	128607439
chr7	906643	907281
chr4	6416911	6417473
chr13	109571471	109572210
chr1	7507744	7508341
chr2	100253034	100253605
chr11	82715165	82715775
chr6	36086143	36086737
chr4	147166243	147166980
chr19	1170102	1170719
chr20	55511660	55512104
chr20	50004008	50004483
chr12	97894242	97894811
chr16	83980285	83981029
chr2	11652708	11653274
chr8	143425886	143426319
chr3	133174881	133175593
chr4	3464636	3465455
chr5	122184834	122185294
chr14	50459596	50460053
chr1	42255296	42255877
chr1	145726380	145726977
chr5	136477612	136478146
chr17	1680150	1680608
chr21	43480078	43480534
chr1	65510005	65510502
chr5	173017983	173018570
chr6	20210332	20210929
chr10	8170235	8170905
chr16	2794686	2795084
chr4	27170128	27170990
chr3	150454978	150455511
chr10	44668719	44669436
chr5	19885144	19885819
chrX	37764101	37764587
chr18	18910011	18910572
chr16	27909203	27909722
chr15	70670432	70670898
chr17	31846625	31847071
chr6	15036845	15037457
chr21	20938837	20939700
chr11	131562030	131562499
chr5	172882105	172882617
chr1	109680561	109681334
chr19	46080511	46081360
chr11	2214399	2214992
chr2	57367551	57368154
chr10	172413	173250
chr2	191651002	191651936
chr3	87591602	87592156
chr4	38464129	38464699
chr3	188209216	188209676
chr2	159583769	159584205
chr1	207076933	207077428
chr1	152715631	152716169
chr1	221140367	221141033
chr11	101312399	101312877
chr22	37966082	37966688
chr12	52542401	52543001
chr10	5538336	5539021
chr17	63239749	63240223
chr18	41456438	41457096
chr2	238467658	238467955
chrX	109195151	109195673
chr6	135575547	135576004
chr9	95428129	95428784
chr12	124895088	124895572
chr6	125906546	125906956
chr11	395921	396403
chr3	129204371	129205041
chr5	149257637	149258328
chr5	57391157	57391565
chr10	62608347	62608816
chr8	70023802	70024203
chr4	28168980	28169471
chr4	1239180	1239633
chr3	15677527	15678215
chr5	132585017	132585664
chr20	4117108	4117623
chr1	22799083	22799621
chr6	134438344	134438888
chr8	17187121	17187636
chr20	61027752	61028254
chr20	46853195	46853638
chr1	177417820	177418289
chr5	172880035	172880641
chr22	29215302	29216115
chr15	74002452	74002894
chr14	93511332	93511931
chr3	50642371	50643213
chr2	43500607	43501142
chr16	19999067	19999738
chr9	136738285	136738790
chr20	43394172	43394605
chr5	139022537	139023397
chr8	129151988	129152520
chr9	128201100	128201527
chr19	51547463	51548060
chr20	47480808	47481745
chr7	105280248	105280895
chr11	67805649	67806067
chr9	132250756	132251659
chr3	133179956	133180592
chr17	39662770	39663318
chr8	102132890	102133289
chr12	103569398	103569805
chr15	30115043	30115632
chr7	156518492	156519011
chr13	27552427	27552942
chr16	53133286	53134071
chr2	33295032	33295636
chr8	22601136	22601731
chr7	2579002	2579626
chr2	28599992	28600707
chr17	13679302	13679938
chr6	135532190	135532897
chr7	1054322	1054801
chr17	43978377	43978832
chr6	33864537	33865141
chr14	34250487	34251201
chrX	153648232	153648638
chr19	34370705	34371414
chr6	44078057	44078443
chr3	16458837	16459320
chr19	19660533	19660995
chr9	116846535	116846935
chr5	173910342	173910844
chr5	71044157	71044765
chr20	47188656	47189150
chr19	39204955	39205553
chr14	97966211	97966818
chr20	24630490	24631114
chr21	43795587	43795984
chr21	41712086	41712671
chr20	48901107	48901696
chr2	140002806	140003223
chr2	237678383	237678887
chr10	5530158	5530702
chr5	172982077	172982539
chr7	34527057	34527474
chr7	101588206	101588621
chr1	184595739	184596215
chr2	20581069	20581554
chr2	237640384	237641124
chr14	99673771	99674332
chr2	11262414	11262935
chr4	3486165	3487107
chr22	31982074	31982860
chr16	68779533	68780078
chr11	66764388	66764987
chr1	21568124	21568541
chr20	19271577	19271999
chr10	80888299	80888719
chr5	117345455	117346028
chr15	38885585	38886133
chr2	241009063	241009781
chr7	105710518	105710974
chr3	197079799	197080346
chr10	90145311	90145668
chr14	104159670	104160284
chr17	55244063	55244590
chr12	834239	834684
chr7	101616102	101616755
chr12	33740664	33741347
chr10	5701766	5702581
chr4	40365360	40366020
chr4	75543697	75544264
chr10	101795230	101795665
chr2	238404969	238405461
chr16	81309251	81309781
chr9	74624670	74625324
chr2	173138761	173139272
chr8	100917663	100918131
chr1	186201030	186201435
chr17	75282230	75283482
chr18	33679166	33679729
chr18	13539747	13540431
chr6	125746457	125746866
chr12	124877467	124878031
chr7	45387405	45388071
chr4	135220511	135220910
chr17	72754232	72754852
chr2	129035398	129035849
chr1	96526074	96526528
chr7	157082097	157082979
chr19	38789498	38790315
chr10	81118460	81118884
chr10	43606129	43606640
chr5	133801992	133802658
chr9	128213277	128213720
chr18	13425749	13426235
chr10	50021986	50022459
chr9	33221262	33221616
chr7	152272052	152272735
chr12	52594333	52594926
chr11	1793795	1794144
chr21	41696229	41697230
chr7	131899191	131899610
chr2	45979592	45980237
chr1	109693765	109694271
chrX	100705049	100705535
chr3	107544451	107544838
chr17	1848999	1849680
chr5	139023626	139024110
chr3	176671476	176671895
chr1	19752259	19752671
chr10	76581346	76582289
chr5	139017719	139018321
chr2	237601413	237601974
chr1	154977892	154978326
chr7	98979248	98979602
chr5	154448143	154448714
chr12	109553899	109554525
chr4	141171326	141171670
chr11	69294396	69295133
chr21	40895868	40896234
chr19	16114292	16114736
chr8	125867508	125867992
chr17	54968085	54968501
chr3	15334291	15335009
chr16	15583219	15583690
chrX	118443709	118444240
chr18	46517114	46517715
chr12	117885461	117885956
chr13	82879777	82880198
chr9	4866203	4866816
chr17	19583626	19584151
chr20	20421919	20422272
chr15	71396972	71397508
chr22	29913203	29913938
chr21	41754467	41755255
chr3	50302456	50302965
chr15	96915994	96916374
chr8	11588123	11588570
chr2	72797554	72798213
chr1	153492708	153493184
chr14	75721679	75722052
chr2	150279428	150279916
chr7	16920122	16920548
chr6	157148360	157148853
chr3	161140051	161140402
chr7	101647367	101647844
chr18	55460776	55461314
chr6	6703969	6704390
chr17	46577122	46577801
chr8	118414693	118415027
chr1	52007394	52007859
chr8	98776426	98776968
chr6	140201085	140201546
chr8	102478854	102479288
chr10	95194728	95195354
chr4	69590151	69590505
chr18	57720972	57721541
chr17	73305411	73305878
chr12	76099851	76100572
chr14	100603524	100603920
chr8	121085403	121085838
chr11	69706224	69706943
chrX	153769097	153770387
chr8	23651542	23651917
chr12	3623491	3623992
chr4	70424251	70424638
chr3	127255021	127255516
chr8	36919702	36920135
chr19	47840004	47840568
chr20	35215441	35216161
chrX	153877880	153878513
chr14	65585019	65585526
chr12	120517233	120518180
chr20	49343853	49344609
chr15	33359998	33360669
chr16	81322315	81322668
chr12	25671544	25671943
chr21	30881507	30882130
chr5	139088477	139089299
chr9	87562507	87562983
chr10	80918187	80918662
chr2	237949873	237950384
chr16	88990226	88990663
chr12	101346105	101346784
chr1	214873742	214874076
chr12	63480340	63480701
chr14	77117999	77118359
chr9	110567344	110567781
chr4	991515	992321
chr4	163704325	163704786
chr2	20574637	20575039
chr3	134046439	134046789
chr22	19160519	19161017
chr14	77784440	77784866
chr11	86487138	86487737
chr14	100562761	100563255
chr22	43130316	43130932
chr20	61275494	61275859
chr2	180511500	180511931
chr4	104699825	104700238
chr7	73236651	73237300
chr4	6281950	6282430
chr17	66437538	66437964
chr19	46381318	46381882
chr10	32940467	32940954
chr8	102486284	102486715
chr2	97630361	97630755
chr20	55465093	55465568
chr16	87840397	87841071
chr14	77866404	77867099
chr9	130809369	130809996
chr22	37593586	37594170
chr2	186052027	186052496
chr6	15090256	15090678
chr8	67626083	67627050
chr19	40986083	40986454
chr16	87868101	87868505
chr20	24792970	24793310
chr17	8957421	8957926
chr8	111878014	111878400
chr2	47426198	47426805
chr7	120357131	120357674
chr1	235098911	235099611
chr11	94277209	94277679
chr1	31659437	31659809
chr14	104812486	104812965
chr8	130463029	130463469
chr10	43577565	43578050
chr16	366720	367470
chr17	80571854	80572410
chr12	46595137	46595727
chr11	65147360	65147740
chr20	43970591	43971299
chr20	19113904	19114377
chr1	117724329	117724697
chr11	69952279	69952797
chr17	38711729	38712160
